StationName,DateTime,NO2,O3,SO2,CO,PM10,PM2.5
Central/Western,"Thu, 24 Feb 2022 22:00:00 +0800",79.7,35.3,4.5,-,35.7,25.5
Central/Western,"Thu, 24 Feb 2022 23:00:00 +0800",98.1,19.1,4.4,-,37.2,25.9
Central/Western,"Fri, 25 Feb 2022 00:00:00 +0800",79.0,29.5,3.6,-,35.8,24.9
Central/Western,"Fri, 25 Feb 2022 01:00:00 +0800",72.6,29.1,2.7,-,32.4,22.7
Central/Western,"Fri, 25 Feb 2022 02:00:00 +0800",36.2,58.9,2.3,-,27.3,20.6
Central/Western,"Fri, 25 Feb 2022 03:00:00 +0800",32.5,50.4,2.3,-,24.4,19.2
Central/Western,"Fri, 25 Feb 2022 04:00:00 +0800",28.9,47.0,2.0,-,23.0,18.5
Central/Western,"Fri, 25 Feb 2022 05:00:00 +0800",23.2,50.2,2.1,-,20.4,16.7
Central/Western,"Fri, 25 Feb 2022 06:00:00 +0800",20.7,58.0,2.1,-,20.0,15.4
Central/Western,"Fri, 25 Feb 2022 07:00:00 +0800",25.8,52.9,2.6,-,23.1,15.3
Central/Western,"Fri, 25 Feb 2022 08:00:00 +0800",44.2,33.5,2.8,-,23.1,16.9
Central/Western,"Fri, 25 Feb 2022 09:00:00 +0800",60.9,14.8,3.4,-,24.0,16.9
Central/Western,"Fri, 25 Feb 2022 10:00:00 +0800",62.6,17.8,3.8,-,26.4,19.3
Central/Western,"Fri, 25 Feb 2022 11:00:00 +0800",63.5,23.0,3.5,-,24.6,17.9
Central/Western,"Fri, 25 Feb 2022 12:00:00 +0800",49.9,48.0,2.3,-,25.5,19.2
Central/Western,"Fri, 25 Feb 2022 13:00:00 +0800",45.6,55.9,1.9,-,19.1,14.2
Central/Western,"Fri, 25 Feb 2022 14:00:00 +0800",50.2,57.8,2.0,-,22.5,16.7
Central/Western,"Fri, 25 Feb 2022 15:00:00 +0800",55.6,61.1,3.2,-,25.8,20.0
Central/Western,"Fri, 25 Feb 2022 16:00:00 +0800",55.2,67.4,4.0,-,25.2,19.5
Central/Western,"Fri, 25 Feb 2022 17:00:00 +0800",52.1,67.6,2.7,-,22.6,17.3
Central/Western,"Fri, 25 Feb 2022 18:00:00 +0800",58.8,62.6,3.4,-,18.6,14.1
Central/Western,"Fri, 25 Feb 2022 19:00:00 +0800",58.8,60.0,3.2,-,20.2,16.1
Central/Western,"Fri, 25 Feb 2022 20:00:00 +0800",56.8,62.2,4.4,-,20.3,16.4
Central/Western,"Fri, 25 Feb 2022 21:00:00 +0800",91.7,30.2,4.1,-,24.1,18.1
Southern,"Thu, 24 Feb 2022 22:00:00 +0800",54.9,19.7,0.6,521.4,19.2,12.8
Southern,"Thu, 24 Feb 2022 23:00:00 +0800",60.9,12.5,0.6,533.4,23.7,16.3
Southern,"Fri, 25 Feb 2022 00:00:00 +0800",58.7,11.5,0.2,557.6,28.2,18.0
Southern,"Fri, 25 Feb 2022 01:00:00 +0800",47.9,21.7,0.3,537.3,30.8,23.4
Southern,"Fri, 25 Feb 2022 02:00:00 +0800",26.2,46.0,0.6,475.8,26.3,18.2
Southern,"Fri, 25 Feb 2022 03:00:00 +0800",22.2,47.2,0.7,466.4,18.4,10.2
Southern,"Fri, 25 Feb 2022 04:00:00 +0800",24.6,43.7,0.8,480.4,15.4,11.4
Southern,"Fri, 25 Feb 2022 05:00:00 +0800",25.7,42.6,1.0,481.7,20.7,-
Southern,"Fri, 25 Feb 2022 06:00:00 +0800",20.8,49.9,0.8,460.7,22.8,-
Southern,"Fri, 25 Feb 2022 07:00:00 +0800",20.0,54.0,1.0,442.3,24.9,15.6
Southern,"Fri, 25 Feb 2022 08:00:00 +0800",29.2,43.6,1.4,469.3,25.3,2.8
Southern,"Fri, 25 Feb 2022 09:00:00 +0800",36.2,37.9,1.9,511.5,26.1,0.2
Southern,"Fri, 25 Feb 2022 10:00:00 +0800",42.6,38.1,1.5,511.1,16.1,11.3
Southern,"Fri, 25 Feb 2022 11:00:00 +0800",35.1,54.5,0.7,451.7,9.9,-
Southern,"Fri, 25 Feb 2022 12:00:00 +0800",33.0,62.9,0.8,436.0,12.3,11.3
Southern,"Fri, 25 Feb 2022 13:00:00 +0800",51.7,46.5,3.1,486.8,17.6,12.0
Southern,"Fri, 25 Feb 2022 14:00:00 +0800",37.7,74.8,3.2,471.9,29.9,11.9
Southern,"Fri, 25 Feb 2022 15:00:00 +0800",21.9,97.4,1.5,449.1,32.3,8.5
Southern,"Fri, 25 Feb 2022 16:00:00 +0800",14.0,104.5,0.9,385.3,17.7,8.4
Southern,"Fri, 25 Feb 2022 17:00:00 +0800",16.3,100.6,4.4,374.5,15.6,7.7
Southern,"Fri, 25 Feb 2022 18:00:00 +0800",20.2,95.5,1.7,413.6,15.5,6.3
Southern,"Fri, 25 Feb 2022 19:00:00 +0800",36.0,65.3,1.3,443.8,18.6,8.0
Southern,"Fri, 25 Feb 2022 20:00:00 +0800",33.9,49.6,0.8,431.3,16.3,7.1
Southern,"Fri, 25 Feb 2022 21:00:00 +0800",51.4,32.6,1.2,476.0,17.5,10.8
Eastern,"Thu, 24 Feb 2022 22:00:00 +0800",59.1,41.5,0.6,-,21.5,13.3
Eastern,"Thu, 24 Feb 2022 23:00:00 +0800",70.3,28.3,0.5,-,26.2,15.8
Eastern,"Fri, 25 Feb 2022 00:00:00 +0800",56.8,43.1,0.6,-,26.4,19.7
Eastern,"Fri, 25 Feb 2022 01:00:00 +0800",34.8,69.8,1.2,-,23.3,19.7
Eastern,"Fri, 25 Feb 2022 02:00:00 +0800",29.8,67.3,1.4,-,22.0,18.8
Eastern,"Fri, 25 Feb 2022 03:00:00 +0800",27.3,57.6,1.4,-,20.0,16.0
Eastern,"Fri, 25 Feb 2022 04:00:00 +0800",23.7,52.0,1.1,-,24.3,14.9
Eastern,"Fri, 25 Feb 2022 05:00:00 +0800",22.1,51.5,1.2,-,23.8,12.2
Eastern,"Fri, 25 Feb 2022 06:00:00 +0800",23.3,49.0,1.4,-,20.5,10.8
Eastern,"Fri, 25 Feb 2022 07:00:00 +0800",35.9,36.9,1.7,-,21.8,11.8
Eastern,"Fri, 25 Feb 2022 08:00:00 +0800",41.2,32.6,1.6,-,21.0,13.2
Eastern,"Fri, 25 Feb 2022 09:00:00 +0800",42.0,37.1,1.9,-,14.0,12.8
Eastern,"Fri, 25 Feb 2022 10:00:00 +0800",45.5,40.3,1.6,-,12.2,9.3
Eastern,"Fri, 25 Feb 2022 11:00:00 +0800",38.5,56.1,1.1,-,18.3,8.4
Eastern,"Fri, 25 Feb 2022 12:00:00 +0800",32.8,72.7,0.7,-,18.5,9.4
Eastern,"Fri, 25 Feb 2022 13:00:00 +0800",29.1,81.3,0.6,-,15.8,9.4
Eastern,"Fri, 25 Feb 2022 14:00:00 +0800",39.7,78.2,0.5,-,12.3,8.9
Eastern,"Fri, 25 Feb 2022 15:00:00 +0800",44.2,79.4,0.6,-,12.0,6.9
Eastern,"Fri, 25 Feb 2022 16:00:00 +0800",46.7,75.2,0.3,-,16.0,8.8
Eastern,"Fri, 25 Feb 2022 17:00:00 +0800",56.9,70.2,0.3,-,17.9,10.6
Eastern,"Fri, 25 Feb 2022 18:00:00 +0800",65.8,63.0,0.5,-,15.9,10.0
Eastern,"Fri, 25 Feb 2022 19:00:00 +0800",71.7,55.8,0.7,-,15.5,8.9
Eastern,"Fri, 25 Feb 2022 20:00:00 +0800",61.7,57.2,1.1,-,18.3,9.2
Eastern,"Fri, 25 Feb 2022 21:00:00 +0800",53.4,60.1,0.9,-,22.0,12.8
Kwun Tong,"Thu, 24 Feb 2022 22:00:00 +0800",92.1,9.2,5.6,-,21.1,15.0
Kwun Tong,"Thu, 24 Feb 2022 23:00:00 +0800",90.0,9.2,5.9,-,23.9,15.9
Kwun Tong,"Fri, 25 Feb 2022 00:00:00 +0800",73.4,21.4,5.4,-,22.3,13.7
Kwun Tong,"Fri, 25 Feb 2022 01:00:00 +0800",80.1,12.7,5.8,-,28.7,15.9
Kwun Tong,"Fri, 25 Feb 2022 02:00:00 +0800",50.3,36.3,5.5,-,20.8,13.0
Kwun Tong,"Fri, 25 Feb 2022 03:00:00 +0800",41.8,36.8,5.4,-,16.3,13.7
Kwun Tong,"Fri, 25 Feb 2022 04:00:00 +0800",-,-,-,-,23.0,16.9
Kwun Tong,"Fri, 25 Feb 2022 05:00:00 +0800",34.2,36.5,6.7,-,23.0,14.0
Kwun Tong,"Fri, 25 Feb 2022 06:00:00 +0800",30.4,38.8,6.2,-,19.6,13.5
Kwun Tong,"Fri, 25 Feb 2022 07:00:00 +0800",49.0,19.8,6.7,-,11.4,-
Kwun Tong,"Fri, 25 Feb 2022 08:00:00 +0800",56.9,15.2,7.3,-,20.3,12.8
Kwun Tong,"Fri, 25 Feb 2022 09:00:00 +0800",41.2,29.3,6.4,-,27.0,13.1
Kwun Tong,"Fri, 25 Feb 2022 10:00:00 +0800",42.1,32.3,6.6,-,27.6,14.9
Kwun Tong,"Fri, 25 Feb 2022 11:00:00 +0800",39.3,52.4,5.8,-,18.2,12.0
Kwun Tong,"Fri, 25 Feb 2022 12:00:00 +0800",56.6,45.4,5.7,-,23.2,11.2
Kwun Tong,"Fri, 25 Feb 2022 13:00:00 +0800",46.9,58.5,5.5,-,26.9,12.0
Kwun Tong,"Fri, 25 Feb 2022 14:00:00 +0800",71.9,42.4,6.4,-,24.4,11.1
Kwun Tong,"Fri, 25 Feb 2022 15:00:00 +0800",78.2,45.3,6.5,-,35.1,11.1
Kwun Tong,"Fri, 25 Feb 2022 16:00:00 +0800",47.8,64.7,5.7,-,36.6,12.9
Kwun Tong,"Fri, 25 Feb 2022 17:00:00 +0800",67.0,51.3,5.7,-,27.2,12.8
Kwun Tong,"Fri, 25 Feb 2022 18:00:00 +0800",90.3,34.6,5.9,-,31.6,10.0
Kwun Tong,"Fri, 25 Feb 2022 19:00:00 +0800",93.6,30.8,5.9,-,23.4,10.3
Kwun Tong,"Fri, 25 Feb 2022 20:00:00 +0800",67.1,47.9,5.4,-,31.7,19.0
Kwun Tong,"Fri, 25 Feb 2022 21:00:00 +0800",61.4,48.5,5.4,-,24.0,19.0
Sham Shui Po,"Thu, 24 Feb 2022 22:00:00 +0800",114.1,3.3,7.9,-,54.3,27.9
Sham Shui Po,"Thu, 24 Feb 2022 23:00:00 +0800",110.9,4.1,8.0,-,50.3,26.6
Sham Shui Po,"Fri, 25 Feb 2022 00:00:00 +0800",61.0,30.5,4.5,-,45.1,25.2
Sham Shui Po,"Fri, 25 Feb 2022 01:00:00 +0800",47.4,34.3,3.2,-,31.2,20.1
Sham Shui Po,"Fri, 25 Feb 2022 02:00:00 +0800",28.6,44.1,3.3,-,22.0,16.4
Sham Shui Po,"Fri, 25 Feb 2022 03:00:00 +0800",24.9,44.5,3.5,-,21.0,13.6
Sham Shui Po,"Fri, 25 Feb 2022 04:00:00 +0800",21.6,44.3,3.6,-,23.3,12.3
Sham Shui Po,"Fri, 25 Feb 2022 05:00:00 +0800",23.3,42.2,4.0,-,18.4,13.3
Sham Shui Po,"Fri, 25 Feb 2022 06:00:00 +0800",28.2,37.3,4.7,-,16.0,15.1
Sham Shui Po,"Fri, 25 Feb 2022 07:00:00 +0800",38.0,28.8,5.9,-,21.6,16.0
Sham Shui Po,"Fri, 25 Feb 2022 08:00:00 +0800",47.1,16.2,5.5,-,23.6,16.0
Sham Shui Po,"Fri, 25 Feb 2022 09:00:00 +0800",49.5,16.3,5.3,-,21.7,11.8
