Date,amundi
2012-10-19,1000
2012-10-22,997.18
2012-10-23,1005.46
2012-10-24,988.77
2012-10-25,982.43
2012-10-26,972.41
2012-10-29,960.43
2012-10-30,961.01
2012-10-31,963.81
2012-11-12,956.41
2012-11-13,959.65
2012-11-14,943.25
2012-11-15,947.53
2012-11-16,937.35
2012-11-19,928.25
2012-11-02,987.42
2012-11-20,930.31
2012-11-21,928.79
2012-11-22,940.06
2012-11-23,931.2
2012-11-26,934.19
2012-11-27,923.39
2012-11-28,910.54
2012-11-29,899.26
2012-11-30,896.35
2012-11-05,990.6
2012-11-06,983.18
2012-11-07,978.22
2012-11-08,974.99
2012-11-09,960.21
2012-12-10,955.83
2012-12-11,962.6
2012-12-12,957.45
2012-12-13,958.96
2012-12-14,952.08
2012-12-17,997.94
2012-12-18,997.98
2012-12-19,995.02
2012-12-20,1000.22
2012-12-21,1009.01
2012-12-24,1009.09
2012-12-27,1050.77
2012-12-28,1040.21
2012-12-03,911.57
2012-12-31,1058.41
2012-12-04,903.68
2012-12-05,914.42
2012-12-06,946.56
2012-12-07,942.59
2013-01-10,1079.95
2013-01-11,1080.08
2013-01-14,1061.02
2013-01-15,1102.78
2013-01-16,1109.4
2013-01-17,1101.82
2013-01-18,1094.69
2013-01-02,1082.33
2013-01-21,1117.3
2013-01-22,1130.31
2013-01-23,1123.32
2013-01-24,1123.16
2013-01-25,1106.11
2013-01-28,1105.26
2013-01-29,1147.51
2013-01-03,1082.29
2013-01-30,1160.42
2013-01-31,1161.38
2013-01-04,1082.24
2013-01-07,1075.8
2013-01-08,1083.99
2013-01-09,1079.79
2013-10-01,1115.62
2013-10-10,1151.63
2013-10-11,1138.43
2013-10-14,1147.19
2013-10-15,1143.38
2013-10-16,1146.43
2013-10-17,1123.14
2013-10-18,1118.5
2013-10-02,1115.57
2013-10-21,1124.35
2013-10-22,1156.86
2013-10-23,1145.9
2013-10-24,1126.8
2013-10-25,1121.6
2013-10-28,1107.29
2013-10-29,1094.44
2013-10-03,1115.52
2013-10-30,1089.65
2013-10-31,1105.13
2013-10-04,1115.47
2013-10-07,1115.32
2013-10-08,1115.26
2013-10-09,1143.09
2013-11-11,1045.36
2013-11-12,1057.48
2013-11-13,1078.45
2013-11-14,1051.94
2013-11-15,1062.07
2013-11-18,1080.79
2013-11-19,1116.56
2013-11-20,1109.15
2013-11-21,1121.79
2013-11-22,1109.13
2013-11-25,1097.29
2013-11-26,1095.53
2013-11-27,1098.32
2013-11-28,1114.37
2013-11-29,1119.35
2013-11-04,1082.95
2013-11-05,1080.87
2013-11-06,1082.53
2013-11-07,1068.06
2013-11-08,1058.21
2013-12-10,1122.22
2013-12-11,1119.6
2013-12-12,1100.55
